arc_i,arc_j,capacity_00,capacity_01,capacity_02,capacity_03,capacity_04,capacity_05,capacity_06,capacity_07,capacity_08,capacity_09,capacity_10,capacity_11,capacity_12,capacity_13,capacity_14,capacity_15,capacity_16,capacity_17,capacity_18,capacity_19,capacity_20
996,superSink02,0,0,185015360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185015360
996,superSink00,28739046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28739046
996,superSource19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3688,3688
996,superSource15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053257,0,0,0,0,1053257
996,superSink13,0,0,0,0,0,0,0,0,0,0,0,0,0,1956814,0,0,0,0,0,0,1956814
996,superSink18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22899410,0,22899410
996,superSink08,0,0,0,0,0,0,0,0,2488115,0,0,0,0,0,0,0,0,0,0,0,2488115
996,982,1441305348,316840115,4764433748,42070227,3480,928079085,334122498,263263509,75522904,844886301,16521774,151547711,12565687,179026222,0,204100642,0,7982773,1545653419,4234170,5955542185
996,superSink11,0,0,0,0,0,0,0,0,0,0,0,2137981,0,0,0,0,0,0,0,0,2137981
996,997,1420526105,312272243,4695745092,41463702,3429,914699005,329305467,259468049,74434093,832705608,16283580,149362854,12384528,176445208,0,201158131,0,7867685,1523369794,4173126,5869681365
997,superSource10,0,0,0,0,0,0,0,0,0,0,29829,0,0,0,0,0,0,0,0,0,29829
997,superSource04,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
997,996,1420526105,312272243,4695745092,41463702,3429,914699005,329305467,259468049,74434093,832705608,16283580,149362854,12384528,176445208,0,201158131,0,7867685,1523369794,4173126,5869681365
997,superSink02,0,0,114316690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114316690
997,998,1420526105,312272243,4695745092,41463702,3429,914699005,329305467,259468049,74434093,832705608,16283580,149362854,12384528,176445208,0,201158131,0,7867685,1523369794,4173126,5869681365
997,superSink13,0,0,0,0,0,0,0,0,0,0,0,0,0,1808988,0,0,0,0,0,0,1808988
997,superSource18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21509388,0,21509388
997,superSource17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11888,0,0,11888
997,superSource08,0,0,0,0,0,0,0,0,1481889,0,0,0,0,0,0,0,0,0,0,0,1481889
998,superSource10,0,0,0,0,0,0,0,0,0,0,352732,0,0,0,0,0,0,0,0,0,352732
998,superSink15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8076215,0,0,0,0,8076215
998,superSink17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198101,0,0,198101
998,superSource03,0,0,0,570916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570916
